Date,Product,Category,Quantity,Price
2026-01-01,Laptop,Electronics,2,50000
2026-01-02,Mouse,Electronics,5,500
2026-01-03,Chair,Furniture,3,3000
2026-01-04,Keyboard,Electronics,4,1000
2026-01-05,Table,Furniture,2,7000
2026-01-06,Monitor,Electronics,4,15000
2026-01-07,Desk,Furniture,2,9000
2026-01-08,Headphones,Electronics,6,2500
2026-01-09,Chair,Furniture,4,3000
2026-01-10,Laptop,Electronics,1,50000
2026-01-11,Mouse,Electronics,8,500
2026-01-12,Table,Furniture,3,7000
2026-01-13,Monitor,Electronics,2,15000
2026-01-14,Desk,Furniture,1,9000
2026-01-15,Keyboard,Electronics,7,1000
